"","control1","control2","control3","benz1","benz2","benz3","chlorhex1","chlorhex2","chlorhex3","perox1","perox2","perox3","tric1","tric2","tric3"
"purF",11.7574370686737,11.3683486368633,11.8827390141244,11.9097921497225,11.8727757316388,11.8585523623261,11.5601870913999,11.364331764927,11.331072016127,11.8182981126198,12.2747135256899,12.3810409081035,13.0586418022477,12.5855778537324,12.9927529321845
"uraA",8.56145436389627,8.17623675452958,9.03662379885915,8.76776994712932,8.83488964433614,8.81782093568813,8.61365794815196,8.25969482303228,8.17318458276895,8.44321606211486,9.11544600844949,9.40372995024102,9.97448027347362,9.45411367410586,10.1228810202454
"yciH",10.2621535396571,10.3042784227743,10.4139409216995,10.6245499116445,10.58419116971,10.5810711429423,10.3366020877569,10.6822641393871,10.4109840947995,10.4563525266457,10.7425654121801,11.0413762196721,11.2957039260213,11.1927215676459,11.7837876346651
"kgtP",12.4282455671584,12.0190073270159,11.8025314045322,12.2611622429242,12.2632810137815,12.1240129802904,12.3274716589339,11.9994588912286,12.0713228407393,11.7848631029185,11.4168528554832,11.3426499740967,10.7636037229771,11.1981166025263,10.9057170310747
"aroF",12.7215471859932,12.5675800398448,12.2385602416226,12.6412064328223,12.6781076005246,12.4291003697801,12.7207922295288,12.5421602073189,12.521930706244,12.5475600989951,12.2358403127168,11.927755257973,11.2214257653656,12.0556055063625,10.829830056289
"pyrF",9.84825598370521,9.4770985822408,9.68429049286525,10.0969132002518,10.0188861936079,9.9872786986884,9.92201911414442,9.81007289318117,9.44365642875709,9.65700519246568,10.1012506903654,10.3427063118752,10.6281071011757,10.6766693016616,11.0076016303839
"nth",8.34780495214577,8.03176458726916,8.64894807605594,8.28849873385817,8.52343676442726,8.29591131439798,8.15405862267431,8.10862624187548,7.56532659160507,8.1167848150557,8.9872764583098,9.16038802531327,9.27268023802572,9.56619561607828,9.77148947260063
"nrdI",9.12071448467251,8.49816200381373,8.99351615303656,9.06672001070664,9.05473638306209,8.6366209355092,9.0084603095892,8.88142356954786,8.55009830533485,9.95292544720407,10.3809021607629,10.2370794179661,7.64471783181975,8.82927889693568,8.57074915212235
"nrdH",10.0159950540993,9.77483529042348,9.91160848334412,9.68079387385368,9.69605144831164,9.36432211902928,9.67633917898645,9.21425203942306,9.10114284573757,10.9527084384662,11.1035456539343,10.8926404701976,8.4599487966955,9.56009333284802,9.3095812891897
"cysD",7.28635595757665,6.87194580007977,7.26075418404551,9.56556295846734,12.8914819477406,7.7543242880562,8.95662977454578,8.261616288391,8.09227179117399,9.59259657801255,8.55435884793317,9.94807573733691,9.44178189313941,9.6719107883127,11.0272116593348
"cysN",8.61929160012471,8.81462771409398,8.58146592991778,9.01947284648051,12.4963866527112,8.75690831530794,8.86718784995481,9.05642971501537,8.75097347016941,8.94321935211127,8.9454267633331,10.0718746812379,11.3900582825615,9.81048102031667,11.2921011286546
"cysH",8.63231013401409,7.19282981046082,8.30523850017472,8.24167633717214,9.50649457991686,8.25049663387361,8.51301738229985,7.99240936627423,8.0895393428175,9.06081808443924,9.46429978745162,9.98271756988238,11.7482104806885,11.2022632278734,11.6292368165661
"cysI",8.16880954127845,7.39947691383812,7.70809739754169,8.21988370313776,11.192447210467,7.91060840551879,8.19774326543612,8.15655286324189,8.1704393166027,8.45062729817922,9.3113189874817,10.4452489466053,11.5324020087484,11.1952981189629,11.9006495733888
"cysJ",8.06166429281667,7.808644697965,7.66140767318758,9.30807841612954,13.0315666719816,8.23486106625093,8.43866873793188,8.36348736111217,8.08764161997218,8.577686560537,8.44023472949988,9.79676755943119,10.5404667907984,9.25055842548608,11.7188776015728
"sdaB",8.74894742719098,8.21935355257943,8.21380127275008,9.00310107986564,9.06897173546761,8.8758333535829,9.00310107986564,9.01642101629198,8.94129784579781,8.30747093055734,8.91401907298285,9.72111940862641,11.7304697715434,9.1058347960431,12.4468710674521
"sdaC",10.3039692249584,9.79342644446793,9.49049302469705,10.4252877617362,10.1702655008013,9.94442384722188,10.2850712599902,9.85544215062698,9.77233752491863,9.08036516671211,9.72148993694749,10.6482201570903,12.4935968820436,9.92792565283059,13.1067229783641
"arnT",8.79982341517092,8.16408233590801,8.2920972851243,9.8632731752734,10.430063148854,9.08469177024608,9.12793958719447,8.26048034824246,8.62153996744018,8.41436482885313,9.29229945620659,9.74468588139795,10.176486227316,9.21187331693507,10.6332098918205
"rsxE",8.35501211701254,8.38972249631678,8.81859497159396,8.9645510382195,9.21040894673443,8.51623825310041,8.71610983432356,8.59120215275568,7.97724988808054,8.35164835992708,9.43396643333576,9.77319865871514,9.27943745253317,9.85951411528387,10.5296644795741
"glgS",12.1050814460097,11.9558699415951,11.7867145285184,11.710548001893,11.5530912141795,11.606619034202,11.8232807481958,11.7580645501394,11.8412370719044,11.8832724814653,11.5038627128989,11.0417102040423,10.6892894817686,11.6112379352895,10.4407127718888
"argG",11.8245041586243,11.7220650345119,11.5238962285101,11.8925831240462,11.8670710293128,11.6949657596423,11.9550670040633,12.036058650297,11.8838369518833,11.6506918236929,11.475141026702,11.4714866453895,9.57036196609175,11.2482613914703,11.1274327786911
"accC",12.146347178969,11.6302860800127,11.501569591063,12.1495338299035,12.1314908115229,12.0980912958939,11.9379048350262,11.5850563101742,11.5965558130802,11.604211774062,11.6282697766784,11.7796052175734,12.9098205795111,12.1359232423974,13.4633491615096
"yhdZ",10.0100067967177,9.39374187148928,9.72486157225409,9.62576872867821,9.46652345137013,9.61730941011082,9.71355201424657,9.56234112157157,9.50564202241831,9.77189659991547,9.49629857496941,9.01562702227818,8.01776048264351,9.5223669408761,8.32158128543409
"exoD",8.11777699775178,7.72524335827404,7.84252315981907,8.16277468874044,7.81905017208261,8.14285963965307,8.46118574949537,8.21141789193839,8.14188284039082,9.98655425199961,10.0549601287262,10.2706512980214,7.40789900995319,8.18229126837727,9.03006180252743
"ugpB",10.5205031846956,9.81424084088116,8.9223988379049,10.5553512900157,11.086481269227,9.58115053866011,10.6274288864663,10.1836338393475,10.2781167115386,9.32563892888505,8.95032139158051,8.97190384986276,7.44088638097981,8.64908373700805,8.62302281443036
"yiaD",8.98482193081358,9.22319829626382,8.98564396915923,9.06862594579153,9.14324273836742,9.0076495936593,8.93506110485496,8.830367312956,8.93931377351051,8.80808398413328,9.09757913371454,9.68914445131836,10.1445145824527,9.42588359158177,11.2065226105713
