"","control1","control2","control3","benz1","benz2","benz3","chlorhex1","chlorhex2","chlorhex3","perox1","perox2","perox3","tric1","tric2","tric3"
"1759120_s_at",6.27601123173097,6.45916492173314,6.35075915590716,6.17700980040886,6.27758349005189,6.3052551350942,6.23800477487561,6.14191077633598,6.05642449002038,6.3565646368143,6.26443710623574,6.2350519109756,6.25528588234637,6.25827177321432,6.02218988955523
"1759121_at",8.3872815536785,7.56179942974966,8.043498520471,8.67929465116357,8.47907816705564,8.64665662788896,8.68342425919991,8.92233843143626,8.58980750165979,8.10214050956351,7.74498109906478,8.26719669972225,6.76467545255815,8.29778240819763,8.47628904558684
"1759122_s_at",12.2680349582812,11.9294441774237,11.5945298660872,12.2397519115498,12.3154171477507,11.9795664873695,12.2484029135647,11.9707506420952,11.9793970150291,11.647138839778,11.5785957570481,11.6708632746842,11.4754307532492,11.6776776469176,11.9390269261773
"1759123_at",7.21285122174252,7.13500781881585,7.02847391270121,7.25409282344386,7.12345095841013,7.21285122174252,7.38216441257838,7.27176469770387,7.27008353542127,6.9588862794706,7.21285122174252,7.3019800075117,7.21285122174252,7.5479867539536,7.17815830779383
"1759124_s_at",6.62257752017468,6.31516993650127,6.40142284807962,6.65910201628217,6.50327898793056,6.6270341159998,6.60668030105256,6.87121586427806,6.91267350458828,6.72966586891615,6.66078034634959,6.74870877818953,6.49179543142578,6.46487261854143,6.9205991503949
"1759125_at",10.56669322211,10.1772345165462,10.056377280498,10.5240474406924,10.7894925915491,10.4592964795734,10.5918728540581,10.4496390044276,10.3300992964409,10.0632488552313,10.3008379013325,10.3773187294201,10.3987157450755,10.2599204377611,10.4306923425988
"1759126_at",10.9549702500622,10.7687652744228,10.8164699868377,11.2166343996236,11.1174127422881,11.0198080280916,11.0535518506696,11.0329385044919,10.746538269814,10.9404593357659,11.0116230119609,10.9404593357659,10.1526521792232,10.6896854829396,10.9154949774584
"1759127_s_at",7.07060670400372,7.25840507064598,7.12362713345112,7.4973499398737,6.93222169791722,7.10724558463752,7.28674091292146,7.95067047712882,7.9011766828294,7.3334321470985,7.19171053886922,7.67639840986836,7.21072548946844,7.08443747106329,7.94954284920459
"1759128_at",12.4599154363376,12.3935276564906,12.4877049386779,12.5895262630257,12.5876223704374,12.5618596312308,12.5746026649575,12.6311532878014,12.4755901976648,12.3829860379917,12.5039614438377,12.5132785617299,12.0295052016444,12.5050177723188,12.4097917699273
"1759129_s_at",11.3210604061561,11.296863866393,11.336915144817,11.4056531536872,11.1996029928835,11.4913665149731,11.3670192931025,11.5333924321967,11.3127099438088,11.3956894296013,11.3759262756232,11.3077370618717,10.9525450397528,11.583436190727,11.2855146200178
